"lag","cost","nu","gamma","corr_pred"
1,4096,0.5,128,0.057877368045493
2,4096,0.5,128,0.057877368045493
3,4096,0.5,128,0.057877368045493
4,4096,0.5,128,0.057877368045493
5,4096,0.5,128,0.057877368045493
1,4096,0.8,128,0.0590004621058195
2,4096,0.8,128,0.0590004621058195
3,4096,0.8,128,0.0590004621058195
4,4096,0.8,128,0.0590004621058195
5,4096,0.8,128,0.0590004621058195
1,4096,0.7,128,0.0590045528737251
2,4096,0.7,128,0.0590045528737251
3,4096,0.7,128,0.0590045528737251
4,4096,0.7,128,0.0590045528737251
5,4096,0.7,128,0.0590045528737251
1,4096,0.9,128,0.0590121221860221
2,4096,0.9,128,0.0590121221860221
3,4096,0.9,128,0.0590121221860221
4,4096,0.9,128,0.0590121221860221
5,4096,0.9,128,0.0590121221860221
1,2048,0.8,128,0.0590212577163956
2,2048,0.8,128,0.0590212577163956
3,2048,0.8,128,0.0590212577163956
4,2048,0.8,128,0.0590212577163956
5,2048,0.8,128,0.0590212577163956
1,2048,0.5,128,0.0590261986140726
2,2048,0.5,128,0.0590261986140726
3,2048,0.5,128,0.0590261986140726
4,2048,0.5,128,0.0590261986140726
5,2048,0.5,128,0.0590261986140726
1,2048,0.9,128,0.0590301648710589
2,2048,0.9,128,0.0590301648710589
3,2048,0.9,128,0.0590301648710589
4,2048,0.9,128,0.0590301648710589
5,2048,0.9,128,0.0590301648710589
1,2048,0.6,128,0.059032837405358
2,2048,0.6,128,0.059032837405358
3,2048,0.6,128,0.059032837405358
4,2048,0.6,128,0.059032837405358
5,2048,0.6,128,0.059032837405358
1,2048,0.7,128,0.059043673739225
2,2048,0.7,128,0.059043673739225
3,2048,0.7,128,0.059043673739225
4,2048,0.7,128,0.059043673739225
5,2048,0.7,128,0.059043673739225
1,2048,0.4,128,0.0590572139667881
2,2048,0.4,128,0.0590572139667881
3,2048,0.4,128,0.0590572139667881
4,2048,0.4,128,0.0590572139667881
5,2048,0.4,128,0.0590572139667881
1,4096,0.6,128,0.0591207888415104
2,4096,0.6,128,0.0591207888415104
3,4096,0.6,128,0.0591207888415104
4,4096,0.6,128,0.0591207888415104
5,4096,0.6,128,0.0591207888415104
1,4096,0.4,128,0.0606555835008938
2,4096,0.4,128,0.0606555835008938
3,4096,0.4,128,0.0606555835008938
4,4096,0.4,128,0.0606555835008938
5,4096,0.4,128,0.0606555835008938
1,4096,0.3,128,0.0727858706061986
2,4096,0.3,128,0.0727858706061986
3,4096,0.3,128,0.0727858706061986
4,4096,0.3,128,0.0727858706061986
5,4096,0.3,128,0.0727858706061986
1,4096,0.9,8,0.0800541586537512
2,4096,0.9,8,0.0800541586537512
3,4096,0.9,8,0.0800541586537512
4,4096,0.9,8,0.0800541586537512
5,4096,0.9,8,0.0800541586537512
1,1024,0.7,128,0.0802407234730149
2,1024,0.7,128,0.0802407234730149
3,1024,0.7,128,0.0802407234730149
4,1024,0.7,128,0.0802407234730149
5,1024,0.7,128,0.0802407234730149
1,1024,0.8,128,0.0802527020828227
2,1024,0.8,128,0.0802527020828227
3,1024,0.8,128,0.0802527020828227
4,1024,0.8,128,0.0802527020828227
5,1024,0.8,128,0.0802527020828227
1,1024,0.9,128,0.0802620484641287
2,1024,0.9,128,0.0802620484641287
3,1024,0.9,128,0.0802620484641287
4,1024,0.9,128,0.0802620484641287
5,1024,0.9,128,0.0802620484641287
1,1024,0.6,128,0.0802840310330488
2,1024,0.6,128,0.0802840310330488
3,1024,0.6,128,0.0802840310330488
4,1024,0.6,128,0.0802840310330488
5,1024,0.6,128,0.0802840310330488
1,1024,0.5,128,0.0803152144677424
2,1024,0.5,128,0.0803152144677424
3,1024,0.5,128,0.0803152144677424
4,1024,0.5,128,0.0803152144677424
5,1024,0.5,128,0.0803152144677424
1,1024,0.4,128,0.0830640969916688
2,1024,0.4,128,0.0830640969916688
3,1024,0.4,128,0.0830640969916688
4,1024,0.4,128,0.0830640969916688
5,1024,0.4,128,0.0830640969916688
1,4096,0.2,128,0.0847929698717437
2,4096,0.2,128,0.0847929698717437
3,4096,0.2,128,0.0847929698717437
4,4096,0.2,128,0.0847929698717437
5,4096,0.2,128,0.0847929698717437
1,2048,0.3,128,0.085043681828737
2,2048,0.3,128,0.085043681828737
3,2048,0.3,128,0.085043681828737
4,2048,0.3,128,0.085043681828737
5,2048,0.3,128,0.085043681828737
1,4096,0.9,64,0.0876491292609066
2,4096,0.9,64,0.0876491292609066
3,4096,0.9,64,0.0876491292609066
4,4096,0.9,64,0.0876491292609066
5,4096,0.9,64,0.0876491292609066
1,4096,0.8,64,0.0876651954861581
2,4096,0.8,64,0.0876651954861581
3,4096,0.8,64,0.0876651954861581
4,4096,0.8,64,0.0876651954861581
5,4096,0.8,64,0.0876651954861581
1,4096,0.5,64,0.0897121017038468
2,4096,0.5,64,0.0897121017038468
3,4096,0.5,64,0.0897121017038468
4,4096,0.5,64,0.0897121017038468
5,4096,0.5,64,0.0897121017038468
1,4096,0.7,64,0.090078329206951
2,4096,0.7,64,0.090078329206951
3,4096,0.7,64,0.090078329206951
4,4096,0.7,64,0.090078329206951
5,4096,0.7,64,0.090078329206951
1,4096,0.8,8,0.0907568825257854
2,4096,0.8,8,0.0907568825257854
3,4096,0.8,8,0.0907568825257854
4,4096,0.8,8,0.0907568825257854
5,4096,0.8,8,0.0907568825257854
1,4096,0.6,64,0.0922539950236244
2,4096,0.6,64,0.0922539950236244
3,4096,0.6,64,0.0922539950236244
4,4096,0.6,64,0.0922539950236244
5,4096,0.6,64,0.0922539950236244
1,4096,0.3,64,0.0978261845226454
2,4096,0.3,64,0.0978261845226454
3,4096,0.3,64,0.0978261845226454
4,4096,0.3,64,0.0978261845226454
5,4096,0.3,64,0.0978261845226454
1,4096,0.3,256,0.1021250086097
2,4096,0.3,256,0.1021250086097
3,4096,0.3,256,0.1021250086097
4,4096,0.3,256,0.1021250086097
5,4096,0.3,256,0.1021250086097
1,4096,0.9,256,0.102217455782988
2,4096,0.9,256,0.102217455782988
3,4096,0.9,256,0.102217455782988
4,4096,0.9,256,0.102217455782988
5,4096,0.9,256,0.102217455782988
1,4096,0.8,256,0.102218060271498
2,4096,0.8,256,0.102218060271498
3,4096,0.8,256,0.102218060271498
4,4096,0.8,256,0.102218060271498
5,4096,0.8,256,0.102218060271498
1,4096,0.7,256,0.102234544575667
2,4096,0.7,256,0.102234544575667
3,4096,0.7,256,0.102234544575667
4,4096,0.7,256,0.102234544575667
5,4096,0.7,256,0.102234544575667
1,4096,0.5,256,0.102257365531007
2,4096,0.5,256,0.102257365531007
3,4096,0.5,256,0.102257365531007
4,4096,0.5,256,0.102257365531007
5,4096,0.5,256,0.102257365531007
1,4096,0.4,256,0.102273299318436
2,4096,0.4,256,0.102273299318436
3,4096,0.4,256,0.102273299318436
4,4096,0.4,256,0.102273299318436
5,4096,0.4,256,0.102273299318436
1,4096,0.6,256,0.102303698218588
2,4096,0.6,256,0.102303698218588
3,4096,0.6,256,0.102303698218588
4,4096,0.6,256,0.102303698218588
5,4096,0.6,256,0.102303698218588
1,4096,0.2,256,0.102390952953134
2,4096,0.2,256,0.102390952953134
3,4096,0.2,256,0.102390952953134
4,4096,0.2,256,0.102390952953134
5,4096,0.2,256,0.102390952953134
1,2048,0.6,64,0.103517889494003
2,2048,0.6,64,0.103517889494003
3,2048,0.6,64,0.103517889494003
4,2048,0.6,64,0.103517889494003
5,2048,0.6,64,0.103517889494003
1,2048,0.9,64,0.103626859109359
2,2048,0.9,64,0.103626859109359
3,2048,0.9,64,0.103626859109359
4,2048,0.9,64,0.103626859109359
5,2048,0.9,64,0.103626859109359
1,2048,0.8,64,0.103649479400827
2,2048,0.8,64,0.103649479400827
3,2048,0.8,64,0.103649479400827
4,2048,0.8,64,0.103649479400827
5,2048,0.8,64,0.103649479400827
1,2048,0.7,64,0.103653928018812
2,2048,0.7,64,0.103653928018812
3,2048,0.7,64,0.103653928018812
4,2048,0.7,64,0.103653928018812
5,2048,0.7,64,0.103653928018812
1,2048,0.5,64,0.109150989198716
2,2048,0.5,64,0.109150989198716
3,2048,0.5,64,0.109150989198716
4,2048,0.5,64,0.109150989198716
5,2048,0.5,64,0.109150989198716
1,4096,0.1,256,0.110042021860042
2,4096,0.1,256,0.110042021860042
3,4096,0.1,256,0.110042021860042
4,4096,0.1,256,0.110042021860042
5,4096,0.1,256,0.110042021860042
1,2048,0.2,128,0.111084598382411
2,2048,0.2,128,0.111084598382411
3,2048,0.2,128,0.111084598382411
4,2048,0.2,128,0.111084598382411
5,2048,0.2,128,0.111084598382411
1,512,0.7,128,0.112268819601418
2,512,0.7,128,0.112268819601418
3,512,0.7,128,0.112268819601418
4,512,0.7,128,0.112268819601418
5,512,0.7,128,0.112268819601418
1,512,0.9,128,0.112270448650465
2,512,0.9,128,0.112270448650465
3,512,0.9,128,0.112270448650465
4,512,0.9,128,0.112270448650465
5,512,0.9,128,0.112270448650465
1,512,0.6,128,0.112286319036223
2,512,0.6,128,0.112286319036223
3,512,0.6,128,0.112286319036223
4,512,0.6,128,0.112286319036223
5,512,0.6,128,0.112286319036223
1,512,0.5,128,0.112297349144589
2,512,0.5,128,0.112297349144589
3,512,0.5,128,0.112297349144589
4,512,0.5,128,0.112297349144589
5,512,0.5,128,0.112297349144589
1,512,0.8,128,0.112311409432444
2,512,0.8,128,0.112311409432444
3,512,0.8,128,0.112311409432444
4,512,0.8,128,0.112311409432444
5,512,0.8,128,0.112311409432444
1,1024,0.7,256,0.114516666715125
2,1024,0.7,256,0.114516666715125
3,1024,0.7,256,0.114516666715125
4,1024,0.7,256,0.114516666715125
5,1024,0.7,256,0.114516666715125
1,1024,0.9,256,0.114519044872892
2,1024,0.9,256,0.114519044872892
3,1024,0.9,256,0.114519044872892
4,1024,0.9,256,0.114519044872892
5,1024,0.9,256,0.114519044872892
1,1024,0.8,256,0.114523938331307
2,1024,0.8,256,0.114523938331307
3,1024,0.8,256,0.114523938331307
4,1024,0.8,256,0.114523938331307
5,1024,0.8,256,0.114523938331307
1,1024,0.6,256,0.114531578147767
2,1024,0.6,256,0.114531578147767
3,1024,0.6,256,0.114531578147767
4,1024,0.6,256,0.114531578147767
5,1024,0.6,256,0.114531578147767
1,1024,0.4,256,0.114554779812185
2,1024,0.4,256,0.114554779812185
3,1024,0.4,256,0.114554779812185
4,1024,0.4,256,0.114554779812185
5,1024,0.4,256,0.114554779812185
1,1024,0.5,256,0.114554790404763
2,1024,0.5,256,0.114554790404763
3,1024,0.5,256,0.114554790404763
4,1024,0.5,256,0.114554790404763
5,1024,0.5,256,0.114554790404763
1,1024,0.3,256,0.114601827112996
2,1024,0.3,256,0.114601827112996
3,1024,0.3,256,0.114601827112996
4,1024,0.3,256,0.114601827112996
5,1024,0.3,256,0.114601827112996
1,4096,0.4,64,0.115819673948792
2,4096,0.4,64,0.115819673948792
3,4096,0.4,64,0.115819673948792
4,4096,0.4,64,0.115819673948792
5,4096,0.4,64,0.115819673948792
1,2048,0.5,256,0.117619640757439
2,2048,0.5,256,0.117619640757439
3,2048,0.5,256,0.117619640757439
4,2048,0.5,256,0.117619640757439
5,2048,0.5,256,0.117619640757439
1,2048,0.7,256,0.11764369834847
2,2048,0.7,256,0.11764369834847
3,2048,0.7,256,0.11764369834847
4,2048,0.7,256,0.11764369834847
5,2048,0.7,256,0.11764369834847
1,2048,0.8,256,0.117645818211587
2,2048,0.8,256,0.117645818211587
3,2048,0.8,256,0.117645818211587
4,2048,0.8,256,0.117645818211587
5,2048,0.8,256,0.117645818211587
1,2048,0.6,256,0.117648107244414
2,2048,0.6,256,0.117648107244414
3,2048,0.6,256,0.117648107244414
4,2048,0.6,256,0.117648107244414
