"lag","cost","nu","gamma","corr_pred"
5,2048,0.4,128,0.0596239987797065
1,4096,0.3,64,0.0596727184994015
2,4096,0.3,64,0.0596727184994015
3,4096,0.3,64,0.0596727184994015
4,4096,0.3,64,0.0596727184994015
5,4096,0.3,64,0.0596727184994015
1,4096,0.4,64,0.0620881967950626
2,4096,0.4,64,0.0620881967950626
3,4096,0.4,64,0.0620881967950626
4,4096,0.4,64,0.0620881967950626
5,4096,0.4,64,0.0620881967950626
1,4096,0.6,64,0.0634571761541639
2,4096,0.6,64,0.0634571761541639
3,4096,0.6,64,0.0634571761541639
4,4096,0.6,64,0.0634571761541639
5,4096,0.6,64,0.0634571761541639
1,1024,0.9,256,0.0661904560230866
2,1024,0.9,256,0.0661904560230866
3,1024,0.9,256,0.0661904560230866
4,1024,0.9,256,0.0661904560230866
5,1024,0.9,256,0.0661904560230866
1,1024,0.8,256,0.0662071046132126
2,1024,0.8,256,0.0662071046132126
3,1024,0.8,256,0.0662071046132126
4,1024,0.8,256,0.0662071046132126
5,1024,0.8,256,0.0662071046132126
1,1024,0.6,256,0.0662457829497223
2,1024,0.6,256,0.0662457829497223
3,1024,0.6,256,0.0662457829497223
4,1024,0.6,256,0.0662457829497223
5,1024,0.6,256,0.0662457829497223
1,1024,0.7,256,0.0662552244028228
2,1024,0.7,256,0.0662552244028228
3,1024,0.7,256,0.0662552244028228
4,1024,0.7,256,0.0662552244028228
5,1024,0.7,256,0.0662552244028228
1,1024,0.3,256,0.0662802648036546
2,1024,0.3,256,0.0662802648036546
3,1024,0.3,256,0.0662802648036546
4,1024,0.3,256,0.0662802648036546
5,1024,0.3,256,0.0662802648036546
1,1024,0.4,256,0.0662927777572581
2,1024,0.4,256,0.0662927777572581
3,1024,0.4,256,0.0662927777572581
4,1024,0.4,256,0.0662927777572581
5,1024,0.4,256,0.0662927777572581
1,1024,0.5,256,0.0663139722314713
2,1024,0.5,256,0.0663139722314713
3,1024,0.5,256,0.0663139722314713
4,1024,0.5,256,0.0663139722314713
5,1024,0.5,256,0.0663139722314713
1,2048,0.8,256,0.066813695952629
2,2048,0.8,256,0.066813695952629
3,2048,0.8,256,0.066813695952629
4,2048,0.8,256,0.066813695952629
5,2048,0.8,256,0.066813695952629
1,2048,0.9,256,0.0668309586770881
2,2048,0.9,256,0.0668309586770881
3,2048,0.9,256,0.0668309586770881
4,2048,0.9,256,0.0668309586770881
5,2048,0.9,256,0.0668309586770881
1,2048,0.4,256,0.0668755160428072
2,2048,0.4,256,0.0668755160428072
3,2048,0.4,256,0.0668755160428072
4,2048,0.4,256,0.0668755160428072
5,2048,0.4,256,0.0668755160428072
1,2048,0.7,256,0.0668775416869197
2,2048,0.7,256,0.0668775416869197
3,2048,0.7,256,0.0668775416869197
4,2048,0.7,256,0.0668775416869197
5,2048,0.7,256,0.0668775416869197
1,2048,0.3,256,0.0668798406263503
2,2048,0.3,256,0.0668798406263503
3,2048,0.3,256,0.0668798406263503
4,2048,0.3,256,0.0668798406263503
5,2048,0.3,256,0.0668798406263503
1,2048,0.6,256,0.0668896195718956
2,2048,0.6,256,0.0668896195718956
3,2048,0.6,256,0.0668896195718956
4,2048,0.6,256,0.0668896195718956
5,2048,0.6,256,0.0668896195718956
1,2048,0.5,256,0.0669312197624177
2,2048,0.5,256,0.0669312197624177
3,2048,0.5,256,0.0669312197624177
4,2048,0.5,256,0.0669312197624177
5,2048,0.5,256,0.0669312197624177
1,4096,0.8,256,0.0693841888404519
2,4096,0.8,256,0.0693841888404519
3,4096,0.8,256,0.0693841888404519
4,4096,0.8,256,0.0693841888404519
5,4096,0.8,256,0.0693841888404519
1,4096,0.6,256,0.0693992577043212
2,4096,0.6,256,0.0693992577043212
3,4096,0.6,256,0.0693992577043212
4,4096,0.6,256,0.0693992577043212
5,4096,0.6,256,0.0693992577043212
1,4096,0.4,256,0.0694103859412724
2,4096,0.4,256,0.0694103859412724
3,4096,0.4,256,0.0694103859412724
4,4096,0.4,256,0.0694103859412724
5,4096,0.4,256,0.0694103859412724
1,4096,0.5,256,0.0694141168757094
2,4096,0.5,256,0.0694141168757094
3,4096,0.5,256,0.0694141168757094
4,4096,0.5,256,0.0694141168757094
5,4096,0.5,256,0.0694141168757094
1,4096,0.7,256,0.0694152995849839
2,4096,0.7,256,0.0694152995849839
3,4096,0.7,256,0.0694152995849839
4,4096,0.7,256,0.0694152995849839
5,4096,0.7,256,0.0694152995849839
1,4096,0.9,256,0.0694236937358876
2,4096,0.9,256,0.0694236937358876
3,4096,0.9,256,0.0694236937358876
4,4096,0.9,256,0.0694236937358876
5,4096,0.9,256,0.0694236937358876
1,4096,0.3,256,0.0694446258805504
2,4096,0.3,256,0.0694446258805504
3,4096,0.3,256,0.0694446258805504
4,4096,0.3,256,0.0694446258805504
5,4096,0.3,256,0.0694446258805504
1,4096,0.5,64,0.0703486986882354
2,4096,0.5,64,0.0703486986882354
3,4096,0.5,64,0.0703486986882354
4,4096,0.5,64,0.0703486986882354
5,4096,0.5,64,0.0703486986882354
1,4096,0.2,256,0.0705672398504967
2,4096,0.2,256,0.0705672398504967
3,4096,0.2,256,0.0705672398504967
4,4096,0.2,256,0.0705672398504967
5,4096,0.2,256,0.0705672398504967
1,4096,0.7,64,0.0706355982973274
2,4096,0.7,64,0.0706355982973274
3,4096,0.7,64,0.0706355982973274
4,4096,0.7,64,0.0706355982973274
5,4096,0.7,64,0.0706355982973274
1,4096,0.8,64,0.0708111657682717
2,4096,0.8,64,0.0708111657682717
3,4096,0.8,64,0.0708111657682717
4,4096,0.8,64,0.0708111657682717
5,4096,0.8,64,0.0708111657682717
1,4096,0.9,64,0.0708999635679428
2,4096,0.9,64,0.0708999635679428
3,4096,0.9,64,0.0708999635679428
4,4096,0.9,64,0.0708999635679428
5,4096,0.9,64,0.0708999635679428
1,4096,0.3,512,0.0750247259732757
2,4096,0.3,512,0.0750247259732757
3,4096,0.3,512,0.0750247259732757
4,4096,0.3,512,0.0750247259732757
5,4096,0.3,512,0.0750247259732757
1,4096,0.8,512,0.0750247817918376
2,4096,0.8,512,0.0750247817918376
3,4096,0.8,512,0.0750247817918376
4,4096,0.8,512,0.0750247817918376
5,4096,0.8,512,0.0750247817918376
1,4096,0.9,512,0.0750283476125741
2,4096,0.9,512,0.0750283476125741
3,4096,0.9,512,0.0750283476125741
4,4096,0.9,512,0.0750283476125741
5,4096,0.9,512,0.0750283476125741
1,4096,0.7,512,0.0750294425566918
2,4096,0.7,512,0.0750294425566918
3,4096,0.7,512,0.0750294425566918
4,4096,0.7,512,0.0750294425566918
5,4096,0.7,512,0.0750294425566918
1,4096,0.4,512,0.0750298395490746
2,4096,0.4,512,0.0750298395490746
3,4096,0.4,512,0.0750298395490746
4,4096,0.4,512,0.0750298395490746
5,4096,0.4,512,0.0750298395490746
1,4096,0.5,512,0.0750343349446206
2,4096,0.5,512,0.0750343349446206
3,4096,0.5,512,0.0750343349446206
4,4096,0.5,512,0.0750343349446206
5,4096,0.5,512,0.0750343349446206
1,4096,0.6,512,0.0750431414220976
2,4096,0.6,512,0.0750431414220976
3,4096,0.6,512,0.0750431414220976
4,4096,0.6,512,0.0750431414220976
5,4096,0.6,512,0.0750431414220976
1,4096,0.2,512,0.0750446081743005
2,4096,0.2,512,0.0750446081743005
3,4096,0.2,512,0.0750446081743005
4,4096,0.2,512,0.0750446081743005
5,4096,0.2,512,0.0750446081743005
1,4096,0.1,512,0.075049858512937
2,4096,0.1,512,0.075049858512937
3,4096,0.1,512,0.075049858512937
4,4096,0.1,512,0.075049858512937
5,4096,0.1,512,0.075049858512937
1,1024,0.7,128,0.0820727463615267
2,1024,0.7,128,0.0820727463615267
3,1024,0.7,128,0.0820727463615267
4,1024,0.7,128,0.0820727463615267
5,1024,0.7,128,0.0820727463615267
1,1024,0.8,128,0.0821162334675483
2,1024,0.8,128,0.0821162334675483
3,1024,0.8,128,0.0821162334675483
4,1024,0.8,128,0.0821162334675483
5,1024,0.8,128,0.0821162334675483
1,1024,0.6,128,0.0821198033485539
2,1024,0.6,128,0.0821198033485539
3,1024,0.6,128,0.0821198033485539
4,1024,0.6,128,0.0821198033485539
5,1024,0.6,128,0.0821198033485539
1,1024,0.5,128,0.0821287499071771
2,1024,0.5,128,0.0821287499071771
3,1024,0.5,128,0.0821287499071771
4,1024,0.5,128,0.0821287499071771
5,1024,0.5,128,0.0821287499071771
1,1024,0.9,128,0.0821381852507431
2,1024,0.9,128,0.0821381852507431
3,1024,0.9,128,0.0821381852507431
4,1024,0.9,128,0.0821381852507431
5,1024,0.9,128,0.0821381852507431
1,512,0.8,256,0.0821784893864435
2,512,0.8,256,0.0821784893864435
3,512,0.8,256,0.0821784893864435
4,512,0.8,256,0.0821784893864435
5,512,0.8,256,0.0821784893864435
1,512,0.9,256,0.0821919316545726
2,512,0.9,256,0.0821919316545726
3,512,0.9,256,0.0821919316545726
4,512,0.9,256,0.0821919316545726
5,512,0.9,256,0.0821919316545726
1,512,0.7,256,0.0822326109095163
2,512,0.7,256,0.0822326109095163
3,512,0.7,256,0.0822326109095163
4,512,0.7,256,0.0822326109095163
5,512,0.7,256,0.0822326109095163
1,512,0.6,256,0.0822437473556465
2,512,0.6,256,0.0822437473556465
3,512,0.6,256,0.0822437473556465
4,512,0.6,256,0.0822437473556465
5,512,0.6,256,0.0822437473556465
1,512,0.5,256,0.0822621190693452
2,512,0.5,256,0.0822621190693452
3,512,0.5,256,0.0822621190693452
4,512,0.5,256,0.0822621190693452
5,512,0.5,256,0.0822621190693452
1,512,0.4,256,0.082282629880663
2,512,0.4,256,0.082282629880663
3,512,0.4,256,0.082282629880663
4,512,0.4,256,0.082282629880663
5,512,0.4,256,0.082282629880663
1,2048,0.1,512,0.084506387929191
2,2048,0.1,512,0.084506387929191
3,2048,0.1,512,0.084506387929191
4,2048,0.1,512,0.084506387929191
5,2048,0.1,512,0.084506387929191
1,2048,0.2,512,0.0848418747470999
2,2048,0.2,512,0.0848418747470999
3,2048,0.2,512,0.0848418747470999
4,2048,0.2,512,0.0848418747470999
5,2048,0.2,512,0.0848418747470999
1,2048,0.9,512,0.0848448306491501
2,2048,0.9,512,0.0848448306491501
3,2048,0.9,512,0.0848448306491501
4,2048,0.9,512,0.0848448306491501
5,2048,0.9,512,0.0848448306491501
1,2048,0.3,512,0.0848484053712916
2,2048,0.3,512,0.0848484053712916
3,2048,0.3,512,0.0848484053712916
4,2048,0.3,512,0.0848484053712916
5,2048,0.3,512,0.0848484053712916
1,2048,0.8,512,0.084856461029071
2,2048,0.8,512,0.084856461029071
3,2048,0.8,512,0.084856461029071
4,2048,0.8,512,0.084856461029071
5,2048,0.8,512,0.084856461029071
1,2048,0.4,512,0.0848565481997906
2,2048,0.4,512,0.0848565481997906
3,2048,0.4,512,0.0848565481997906
4,2048,0.4,512,0.0848565481997906
5,2048,0.4,512,0.0848565481997906
1,2048,0.5,512,0.0848665598510317
2,2048,0.5,512,0.0848665598510317
3,2048,0.5,512,0.0848665598510317
4,2048,0.5,512,0.0848665598510317
5,2048,0.5,512,0.0848665598510317
1,2048,0.7,512,0.0848706571576937
2,2048,0.7,512,0.0848706571576937
3,2048,0.7,512,0.0848706571576937
4,2048,0.7,512,0.0848706571576937
5,2048,0.7,512,0.0848706571576937
1,2048,0.6,512,0.0848757116619848
2,2048,0.6,512,0.0848757116619848
3,2048,0.6,512,0.0848757116619848
4,2048,0.6,512,0.0848757116619848
5,2048,0.6,512,0.0848757116619848
1,2048,0.2,256,0.0849214995078298
2,2048,0.2,256,0.0849214995078298
3,2048,0.2,256,0.0849214995078298
4,2048,0.2,256,0.0849214995078298
5,2048,0.2,256,0.0849214995078298
1,512,0.3,256,0.0893182780238754
2,512,0.3,256,0.0893182780238754
3,512,0.3,256,0.0893182780238754
4,512,0.3,256,0.0893182780238754
5,512,0.3,256,0.0893182780238754
1,1024,0.4,128,0.0897243751882025
2,1024,0.4,128,0.0897243751882025
3,1024,0.4,128,0.0897243751882025
4,1024,0.4,128,0.0897243751882025
5,1024,0.4,128,0.0897243751882025
1,4096,0.2,64,0.0914016367575084
2,4096,0.2,64,0.0914016367575084
3,4096,0.2,64,0.0914016367575084
4,4096,0.2,64,0.0914016367575084
5,4096,0.2,64,0.0914016367575084
1,2048,0.3,128,0.0976440370592341
2,2048,0.3,128,0.0976440370592341
3,2048,0.3,128,0.0976440370592341
4,2048,0.3,128,0.0976440370592341
5,2048,0.3,128,0.0976440370592341
1,4096,0.2,128,0.0993453351027085
2,4096,0.2,128,0.0993453351027085
3,4096,0.2,128,0.0993453351027085
4,4096,0.2,128,0.0993453351027085
5,4096,0.2,128,0.0993453351027085
1,2048,0.8,64,0.100769847641681
2,2048,0.8,64,0.100769847641681
3,2048,0.8,64,0.100769847641681
4,2048,0.8,64,0.100769847641681
5,2048,0.8,64,0.100769847641681
1,2048,0.7,64,0.100825565636854
2,2048,0.7,64,0.100825565636854
3,2048,0.7,64,0.100825565636854
4,2048,0.7,64,0.100825565636854
5,2048,0.7,64,0.100825565636854
1,1024,0.9,512,0.100826480588228
2,1024,0.9,512,0.100826480588228
3,1024,0.9,512,0.100826480588228
4,1024,0.9,512,0.100826480588228
5,1024,0.9,512,0.100826480588228
1,1024,0.8,512,0.100829379389334
2,1024,0.8,512,0.100829379389334
3,1024,0.8,512,0.100829379389334
4,1024,0.8,512,0.100829379389334
5,1024,0.8,512,0.100829379389334
1,2048,0.4,64,0.100835884522581
2,2048,0.4,64,0.100835884522581
3,2048,0.4,64,0.100835884522581
4,2048,0.4,64,0.100835884522581
5,2048,0.4,64,0.100835884522581
1,1024,0.7,512,0.100846166501238
2,1024,0.7,512,0.100846166501238
3,1024,0.7,512,0.100846166501238
4,1024,0.7,512,0.100846166501238
5,1024,0.7,512,0.100846166501238
1,1024,0.6,512,0.100849732432605
2,1024,0.6,512,0.100849732432605
3,1024,0.6,512,0.100849732432605
4,1024,0.6,512,0.100849732432605
5,1024,0.6,512,0.100849732432605
1,1024,0.5,512,0.100850348600472
2,1024,0.5,512,0.100850348600472
3,1024,0.5,512,0.100850348600472
4,1024,0.5,512,0.100850348600472
5,1024,0.5,512,0.100850348600472
1,1024,0.4,512,0.100862026642708
2,1024,0.4,512,0.100862026642708
3,1024,0.4,512,0.100862026642708
