"lag","cost","nu","gamma","corr_pred"
1,4096,0.4,128,0.0885216461730864
2,4096,0.4,128,0.0885216461730864
3,4096,0.4,128,0.0885216461730864
4,4096,0.4,128,0.0885216461730864
5,4096,0.4,128,0.0885216461730864
1,4096,0.5,128,0.0885775281906058
2,4096,0.5,128,0.0885775281906058
3,4096,0.5,128,0.0885775281906058
4,4096,0.5,128,0.0885775281906058
5,4096,0.5,128,0.0885775281906058
1,4096,0.9,128,0.0899018677005423
2,4096,0.9,128,0.0899018677005423
3,4096,0.9,128,0.0899018677005423
4,4096,0.9,128,0.0899018677005423
5,4096,0.9,128,0.0899018677005423
1,4096,0.7,128,0.0899198748861977
2,4096,0.7,128,0.0899198748861977
3,4096,0.7,128,0.0899198748861977
4,4096,0.7,128,0.0899198748861977
5,4096,0.7,128,0.0899198748861977
1,4096,0.8,128,0.0899355339280289
2,4096,0.8,128,0.0899355339280289
3,4096,0.8,128,0.0899355339280289
4,4096,0.8,128,0.0899355339280289
5,4096,0.8,128,0.0899355339280289
1,4096,0.6,128,0.0901100875838222
2,4096,0.6,128,0.0901100875838222
3,4096,0.6,128,0.0901100875838222
4,4096,0.6,128,0.0901100875838222
5,4096,0.6,128,0.0901100875838222
1,4096,0.3,128,0.0954902390248652
2,4096,0.3,128,0.0954902390248652
3,4096,0.3,128,0.0954902390248652
4,4096,0.3,128,0.0954902390248652
5,4096,0.3,128,0.0954902390248652
1,4096,0.9,32,0.111163653351892
2,4096,0.9,32,0.111163653351892
3,4096,0.9,32,0.111163653351892
4,4096,0.9,32,0.111163653351892
5,4096,0.9,32,0.111163653351892
1,4096,0.8,32,0.111844980351583
2,4096,0.8,32,0.111844980351583
3,4096,0.8,32,0.111844980351583
4,4096,0.8,32,0.111844980351583
5,4096,0.8,32,0.111844980351583
1,4096,0.7,32,0.112603167017494
2,4096,0.7,32,0.112603167017494
3,4096,0.7,32,0.112603167017494
4,4096,0.7,32,0.112603167017494
5,4096,0.7,32,0.112603167017494
1,4096,0.2,128,0.113750118304738
2,4096,0.2,128,0.113750118304738
3,4096,0.2,128,0.113750118304738
4,4096,0.2,128,0.113750118304738
5,4096,0.2,128,0.113750118304738
1,4096,0.6,32,0.119754948809677
2,4096,0.6,32,0.119754948809677
3,4096,0.6,32,0.119754948809677
4,4096,0.6,32,0.119754948809677
5,4096,0.6,32,0.119754948809677
1,2048,0.8,256,0.125948979794692
2,2048,0.8,256,0.125948979794692
3,2048,0.8,256,0.125948979794692
4,2048,0.8,256,0.125948979794692
5,2048,0.8,256,0.125948979794692
1,2048,0.9,256,0.125957399794315
2,2048,0.9,256,0.125957399794315
3,2048,0.9,256,0.125957399794315
4,2048,0.9,256,0.125957399794315
5,2048,0.9,256,0.125957399794315
1,2048,0.7,256,0.125972111734275
2,2048,0.7,256,0.125972111734275
3,2048,0.7,256,0.125972111734275
4,2048,0.7,256,0.125972111734275
5,2048,0.7,256,0.125972111734275
1,2048,0.6,256,0.125988664553815
2,2048,0.6,256,0.125988664553815
3,2048,0.6,256,0.125988664553815
4,2048,0.6,256,0.125988664553815
5,2048,0.6,256,0.125988664553815
1,2048,0.3,256,0.125994172830549
2,2048,0.3,256,0.125994172830549
3,2048,0.3,256,0.125994172830549
